"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","Haji Bunder Rd","580","300, Balkrishna Nakashe Marg, Janata Nagar, Tardeo","3/1/2020 - 3/31/2020, Every day, Daily Average",1727,1196,2492
"258","Haji Bunder Rd","582","MH SH 76","3/1/2020 - 3/31/2020, Every day, Daily Average",3445,2897,4095
"258","Haji Bunder Rd","583","0-3, Savitribai Phule Marg, Krishan mandir Area, Sector 19, Nerul","3/1/2020 - 3/31/2020, Every day, Daily Average",2373,1896,2968
"258","Haji Bunder Rd","584","200, Station Road, Railway Staff Quarters, Naupada, Bandra East","3/1/2020 - 3/31/2020, Every day, Daily Average",1714,1341,2189
"258","Haji Bunder Rd","585","WING-B, Bhagwanlal Indrajit Rd, Teen Batti, Malabar Hill","3/1/2020 - 3/31/2020, Every day, Daily Average",1491,1135,1958
"258","Haji Bunder Rd","586","SEP-2","3/1/2020 - 3/31/2020, Every day, Daily Average",1315,1052,1642
"258","Haji Bunder Rd","587","Narayanshet Patil Road","3/1/2020 - 3/31/2020, Every day, Daily Average",3811,2959,4907
"258","Haji Bunder Rd","588","Madhuri CHS","3/1/2020 - 3/31/2020, Every day, Daily Average",3394,2714,4244
"258","Haji Bunder Rd","590","0/A, Bhagwanlal Indrajit Rd, Teen Batti, Malabar Hill","3/1/2020 - 3/31/2020, Every day, Daily Average",1502,1153,1955
"258","Haji Bunder Rd","591","Keshavrao Khadye Marg","3/1/2020 - 3/31/2020, Every day, Daily Average",1325,942,1862
"258","Haji Bunder Rd","593","Kalyan - Shilphata Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",3723,2907,4767
"258","Haji Bunder Rd","594","Mansarovar Complex","3/1/2020 - 3/31/2020, Every day, Daily Average",4765,3688,6155
"258","Haji Bunder Rd","596","Gr. Flr, Tikuji Ni Wadi Rd, Hill Garden, Kokanipada, Thane West","3/1/2020 - 3/31/2020, Every day, Daily Average",3113,2471,3920
"258","Haji Bunder Rd","597","Vastu Vihar Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",2822,2280,3492
"258","Haji Bunder Rd","598","100, Collectors Colony Rd, कलेक्टर कॉलोनी, Chembur East","3/1/2020 - 3/31/2020, Every day, Daily Average",1037,795,1351
"258","Haji Bunder Rd","599","Railway Bridge","3/1/2020 - 3/31/2020, Every day, Daily Average",1481,1050,2088
"258","Haji Bunder Rd","600","Sector 15 Sanpada Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",2158,1700,2739
"258","Haji Bunder Rd","601","Nehru Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",5396,4236,6873
"258","Haji Bunder Rd","602","B-14","3/1/2020 - 3/31/2020, Every day, Daily Average",2019,1617,2519
"258","Haji Bunder Rd","603","Ganesh Mandir Road","3/1/2020 - 3/31/2020, Every day, Daily Average",3325,2728,4052
"258","Haji Bunder Rd","604","200, MIDC Industrial Area","3/1/2020 - 3/31/2020, Every day, Daily Average",2416,1950,2993
"258","Haji Bunder Rd","605","Lodha Casa Rio Gold Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",4051,3166,5182
"258","Haji Bunder Rd","606","100, Dargah Rd, Amrut Nagar, Sonaji Nagar, Mumbra","3/1/2020 - 3/31/2020, Every day, Daily Average",3818,2997,4863
"258","Haji Bunder Rd","607","WING-B, Lal Bahadur Shastri Marg, GKW Colony, Bhandup West","3/1/2020 - 3/31/2020, Every day, Daily Average",2403,1851,3118
"258","Haji Bunder Rd","608","0-104, Nargis Dutt Rd, Pali Hill","3/1/2020 - 3/31/2020, Every day, Daily Average",2593,2097,3205
"258","Haji Bunder Rd","610","100, Swadeshi Mills Rd, Tadwadi, Chunabhatti, Sion","3/1/2020 - 3/31/2020, Every day, Daily Average",911,713,1162
"258","Haji Bunder Rd","611","M 5","3/1/2020 - 3/31/2020, Every day, Daily Average",1140,796,1632
"258","Haji Bunder Rd","612","0, Dr Baba Saheb Ambedkar Rd, Dhaku Prabhuchi Wadi, Byculla East, Mazgaon","3/1/2020 - 3/31/2020, Every day, Daily Average",573,231,1415
"258","Haji Bunder Rd","613","Pimpalner Road","3/1/2020 - 3/31/2020, Every day, Daily Average",3676,3013,4484
"258","Haji Bunder Rd","614","0, Kulupwadi Ln, Kulupwadi, Borivali East","3/1/2020 - 3/31/2020, Every day, Daily Average",3843,2885,5117
"258","Haji Bunder Rd","615","Khandeshwar Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",3447,2840,4183
"258","Haji Bunder Rd","616","Badlapur - Katai Road","3/1/2020 - 3/31/2020, Every day, Daily Average",4575,3594,5822
"258","Haji Bunder Rd","617","Kalyan - Shilphata Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",4531,3511,5845
"258","Haji Bunder Rd","618","HCC Building","3/1/2020 - 3/31/2020, Every day, Daily Average",1834,1483,2267
"258","Haji Bunder Rd","619","Zakeria Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",3996,2974,5367
